Purchase__basketValueGross,Purchase__purchaseType,Purchase__overallBasketSavings,Purchase__storeId,Purchase__paymentType__category,Purchase__paymentType__amount,Purchase__timeStamp,Purchase__basketValueNet,Purchase__says,Purchase__storeName,Purchase__storeFormat,Purchase__product__name,Purchase__product__quantity,Purchase__product__channel,Purchase__product__price
,,,,,,,,,,,Tesco Supersweet Mini Corn On The Cob 875G,1.0,IN_STORE,1.5
49.66,IN_STORE,,3720.0,,49.66,2021-07-18 10:15:22.975,49.66,,SOUTHWARK PFS,Petrol,San Pellegrino Sparkling Water 500Ml (New),1.0,IN_STORE,0.65
,,,,,,,,,,,UNLEADED,1.0,IN_STORE,1.3
21.67,IN_STORE,,3720.0,,21.67,2021-07-01 19:13:17.851,21.67,,SOUTHWARK PFS,Petrol,UNLEADED,1.0,IN_STORE,1.28
47.65,IN_STORE,,3720.0,,47.65,2021-06-22 07:37:57.603,47.65,,SOUTHWARK PFS,Petrol,UNLEADED,1.0,IN_STORE,1.27
52.2,IN_STORE,,3720.0,,52.2,2021-05-15 11:26:06.061,52.2,,SOUTHWARK PFS,Petrol,UNLEADED,1.0,IN_STORE,1.23
38.44,IN_STORE,7.34,3189.0,,31.1,2021-05-06 19:12:50.054,31.1,,SOUTHWARK,SuperStore,Tesco Watermelon Wedges 550G,1.0,IN_STORE,2.5
,,,,,,,,,,,Pot Noodle Chicken & Mushroom 94G +25% Extra Free,1.0,IN_STORE,0.75
,,,,,,,,,,,Gu Lemon Cheesecake 2X90g,1.0,IN_STORE,3.0
,,,,,,,,,,,Light & Free Skyr Strawberry 150G,1.0,IN_STORE,1.0
,,,,,,,,,,,Califia Farms Oat Barista Blend 1Ltr,1.0,IN_STORE,2.0
,,,,,,,,,,,Graze Bbq Crunch 104G,1.0,IN_STORE,2.99
,,,,,,,,,,,Philadelphia Original Family Pack 340G,1.0,IN_STORE,3.0
,,,,,,,,,,,Arla Skyr Strawberry 150G,1.0,IN_STORE,1.0
,,,,,,,,,,,Pot Noodle Sticky Rib 90G,1.0,IN_STORE,0.75
,,,,,,,,,,,Tesco Beef Rump Steak 255G,3.0,IN_STORE,3.55
,,,,,,,,,,,Pot Noodle Chinese Chow Mein 90G,1.0,IN_STORE,0.75
,,,,,,,,,,,T.Kent Baby Plum Tomatoes 325G,1.0,IN_STORE,1.0
,,,,,,,,,,,Light & Free Skyr Raspberry Yogurt 150G,1.0,IN_STORE,1.0
,,,,,,,,,,,Batchelors Super Noodles Mild Curry 90G,1.0,IN_STORE,0.6
,,,,,,,,,,,Tesco Finest Oyster Mushroom Cluster 150G,1.0,IN_STORE,1.5
,,,,,,,,,,,Gu Salted Caramel Cheesecake 2X92g,1.0,IN_STORE,3.0
,,,,,,,,,,,Arla Skyr Nordic Sour Cherry 150G,1.0,IN_STORE,1.0
,,,,,,,,,,,Nongshim Instant Shin Cup Noodle Soup 68G,1.0,IN_STORE,0.95
,,,,,,,,,,,Tesco Wild Rocket 60G,1.0,IN_STORE,1.0
35.22,IN_STORE,6.48,3189.0,,28.74,2021-05-02 14:53:37.744,28.74,,SOUTHWARK,SuperStore,Tesco Sweet Peppers 500G,1.0,IN_STORE,1.35
,,,,,,,,,,,Tesco 6 Mini Garlic & Coriander Naans,1.0,IN_STORE,0.89
,,,,,,,,,,,Tesco Prosciutto Crudo & Salami Platter 120G,1.0,IN_STORE,2.5
,,,,,,,,,,,Tesco Finest Oyster Mushroom Cluster 150G,2.0,IN_STORE,1.5
,,,,,,,,,,,Kettle Chips Sea Salt & Rosemary 150G,1.0,IN_STORE,1.99
,,,,,,,,,,,Tesco Folding Camping Chair Grey/Green,2.0,IN_STORE,8.0
,,,,,,,,,,,Kettle Chips Seaside Salt & Malt Vinegar 150G,1.0,IN_STORE,1.99
,,,,,,,,,,,The Ice Co. Ice Cubes 2Kg,1.0,IN_STORE,1.0
,,,,,,,,,,,Tesco 4 X Bags Instant Light Lumpwood Charcoal,1.0,IN_STORE,6.5
13.45,IN_STORE,,3189.0,,13.45,2021-04-19 19:17:10.189,13.45,,SOUTHWARK,SuperStore,Tesco Honey Roast Salmon Flakes 80G,1.0,IN_STORE,2.25
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,1.0,IN_STORE,0.37
,,,,,,,,,,,Tesco Nightingale Farm Peppers,1.0,IN_STORE,0.86
,,,,,,,,,,,Thai Dragon Sriracha Hot Chilli Sauce 455Ml,1.0,IN_STORE,1.99
,,,,,,,,,,,Birds Eye 2 Hot And Spicy Chicken 200G,1.0,IN_STORE,1.65
,,,,,,,,,,,Tesco Smoked Mackerel/Crushed Peppercorn,1.0,IN_STORE,2.83
,,,,,,,,,,,Arla Skyr Vanilla Yogurt 450G,1.0,IN_STORE,1.25
,,,,,,,,,,,Tesco Sweet Chilli Salmon Flakes 80G,1.0,IN_STORE,2.25
42.04,IN_STORE,,3720.0,,42.04,2021-04-17 13:16:54.428,42.04,,SOUTHWARK PFS,Petrol,UNLEADED,1.0,IN_STORE,1.2
14.44,IN_STORE,2.46,3189.0,,11.98,2021-04-15 18:59:19.115,11.98,,SOUTHWARK,SuperStore,Tesco Bunched Spring Onions 100G,1.0,IN_STORE,0.37
,,,,,,,,,,,Mccain Home Chips Straight Cut 1Kg,1.0,IN_STORE,2.29
,,,,,,,,,,,T.Kent Baby Plum Tomatoes 325G,1.0,IN_STORE,1.0
,,,,,,,,,,,Tesco Cucumber Whole Each,1.0,IN_STORE,0.43
,,,,,,,,,,,Tesco Clementine Or Sweet Easy Peeler Pack 600G,1.0,IN_STORE,1.35
,,,,,,,,,,,Arla Skyr Vanilla Yogurt 450G,1.0,IN_STORE,1.25
,,,,,,,,,,,Tesco Sussex Romaine Lettuce Hearts 2 Pack,1.0,IN_STORE,1.0
,,,,,,,,,,,Tesco Blueberries 150G,2.0,IN_STORE,2.0
,,,,,,,,,,,Total Greek Strained Yogurt 500G,1.0,IN_STORE,2.75
12.55,IN_STORE,0.61,3189.0,,11.94,2021-04-12 19:29:12.373,11.94,,SOUTHWARK,SuperStore,Tesco Bunched Spring Onions 100G,1.0,IN_STORE,0.37
,,,,,,,,,,,Tesco E/Anglian Little Gem Lettuce 2 Pack,1.0,IN_STORE,0.85
,,,,,,,,,,,Tesco Salmon Fillets 240G,1.0,IN_STORE,3.25
